Best Settings Category,Category,Use Object Detection,Refresh Index,Resolution,Traffic Video,K,A,T,M,Raw Size (Bytes),Compressed Size (Bytes)
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic2,4,0.01,0.9,3,2314079,2145291
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic2,4,0.01,0.9,5,2314079,1857143
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic3,4,0.1,0.9,3,771679,343354
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic4,4,0.1,0.9,3,772620,236140
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic5,4,0.1,0.9,3,670191,387622
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic2,4,0.1,0.9,4,2314079,1280215
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic5,4,0.1,0.9,4,670191,369928
Best-OpenCV-Settings,Category-NA,True,0,120p,Traffic5,4,0.1,0.9,5,670191,364696
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic1,3,0.01,0.9,3,4026900,3947400
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic1,3,0.01,0.9,4,4026900,3857381
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic1,3,0.01,0.9,5,4026900,3818169
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic3,3,0.1,0.9,4,3734983,1508409
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic2,4,0.01,0.9,3,9326828,10087644
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic3,4,0.01,0.9,3,3734983,3292509
Best-OpenCV-Settings,Category-NA,True,0,240p,Traffic2,4,0.01,0.9,4,9326828,9441150
